course_name,category,software,certificate,teacher,course_level,course_rating,hours_per_week,course_link,price
Основы компьютерного зрения: мир глазами машины,Машинное обучение и наука о данных,"Python, PyTorch, Python, PyTorch",No,"Елена Кантонистова, Марк Блуменау",Начальный уровень,5,,https://stepik.org/course/231644?search=7139493569,0
Анализ Данных с Глебом Михайловым (3 курса сразу!),Машинное обучение и наука о данных,"Python, Pandas, Python",No,Глеб Михайлов,Начальный уровень,5,,https://stepik.org/course/200649?search=7139493561,648050
Нейронные сети: Основы глубокого обучения с нуля,Машинное обучение и наука о данных,,Сертификат Stepik,Валерий Никаноров,Начальный уровень,5,,https://stepik.org/course/225292?search=7139493573,990
Машинное Обучение в Python: Большой Курс для Начинающих,Машинное обучение и наука о данных,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",Сертификат Stepik,Влад Бурмистров,Начальный уровень,5,,https://stepik.org/course/129449?search=7139493556,2465
Машинное обучение: Кросс-валидация и оптимизация гиперпараметров,Машинное обучение и наука о данных,,Сертификат Stepik,Сергей Спирёв,,5,,https://stepik.org/course/214012?search=7139493564,780
Продвинутые методы глубинного обучения,Машинное обучение и наука о данных,,No,"Елена Кантонистова, Евгений Паточенко, Марк Блуменау",Средний уровень,5,,https://stepik.org/course/205676?search=7139493574,3900
Курс по Numpy — Твой путь в AI,Машинное обучение и наука о данных,NumPy,Сертификат Stepik,Сергей Дубинин,Начальный уровень,4.8,,https://stepik.org/course/180256?search=7139493566,343
"Нейронные сети с PyTorch: без формул, только практика!",Машинное обучение и наука о данных,"PyTorch, PyTorch",Сертификат Stepik,Сергей Дубинин,Средний уровень,5,,https://stepik.org/course/186169?search=7139493571,1393
Делаем свой AI-продукт на базе ChatGPT или других LLM моделей.,Машинное обучение и наука о данных,,Сертификат Stepik,"Александр 🍕 Миленькин, Иван Александров",Начальный уровень,4.9,1-2,https://stepik.org/course/178846?search=7139493560,3900
Введение в соревновательный Data Science,Машинное обучение и наука о данных,,Сертификат Stepik,"Александр 🍕 Миленькин, Иван Александров, Вольнов Сергей",Средний уровень,5,10,https://stepik.org/course/108888?search=7139493558,7950
Практический Machine Learning,Машинное обучение и наука о данных,,Сертификат Stepik,"Елена Кантонистова, Евгений Паточенко",Начальный уровень,5,4-5 часов в неделю,https://stepik.org/course/125501?search=7139493559,3900
Пакет курсов: Pandas + Matplotlib + Seaborn,Машинное обучение и наука о данных,,No,Сергей Спирёв,,5,,https://stepik.org/course/211639?search=7139493565,2180
Основы нейронных сетей и NLP,Машинное обучение и наука о данных,"Python, Pandas, NumPy, Python",Сертификат Stepik,"Елена Кантонистова, Мария Макарова",Средний уровень,5,4-5 часов в неделю,https://stepik.org/course/180984?search=7139493570,3900
TensorFlow: от основ математики до глубокого обучения.,Машинное обучение и наука о данных,"Python, TensorFlow, Python, TensorFlow",Сертификат Stepik,Mikhail Gushchinin,Средний уровень,5,4-5 часов в неделю,https://stepik.org/course/211706?search=7139493572,990
Практикум по математике и Python,Машинное обучение и наука о данных,"Python, Python",Сертификат Stepik,Алексей Задойный,Средний уровень,4.8,,https://stepik.org/course/3356?search=7139493568,0
Внедряем AI Ассистентов в разработку | AI DevTools,Машинное обучение и наука о данных,"GitHub, GitLab",Сертификат Stepik,Александр Перевалов,Средний уровень,,2-3 часа в неделю,https://stepik.org/course/230403?search=7139493567,2990
Машинное обучение: Метрики качества классификации и регрессии,Машинное обучение и наука о данных,,Сертификат Stepik,Сергей Спирёв,,5,,https://stepik.org/course/216263?search=7139493563,980
"Пакет курсов ""Data Scientist"": Python + SQL + Машинное обучение",Машинное обучение и наука о данных,"Python, Pandas, NumPy, Matplotlib, Jupyter Notebook, HTML, Excel, Python, SQL, Scikit-learn",No,Влад Бурмистров,,5,71 час видео-лекций + время на выполнение практических заданий,https://stepik.org/course/175382?search=7139493562,3315
Алгоритмы Машинного обучения с нуля,Машинное обучение и наука о данных,,Сертификат Stepik,Вячеслав Колосков,Средний уровень,5,,https://stepik.org/course/68260?search=7139493575,1900
Data Science с Глебом Михайловым,Машинное обучение и наука о данных,"Python, Pandas, Python",Сертификат Stepik,Глеб Михайлов,Начальный уровень,5,,https://stepik.org/course/113596?search=7139493557,2485
Продвинутый SQL,Языки программирования,SQL,Сертификат Stepik,Shultais Education,Средний уровень,4.8,4,https://stepik.org/course/55776?search=7139515396,2920
Объектно-ориентированное программирование на Java,Языки программирования,,Сертификат Stepik,Оксана Еськова,Начальный уровень,5,,https://stepik.org/course/133183?search=7139515399,1870
Python Advanced: от ООП до многопроцессности,Языки программирования,,No,"Сергей Балакирев, Александр Шибаев",Средний уровень,,,https://stepik.org/course/232642?search=7139515394,6890
PRO Go. Алгоритмы и структуры данных,Языки программирования,,No,"Иосиф Дзеранов, Копченин Михаил",Средний уровень,5,4-5 часов в неделю,https://stepik.org/course/201825?search=7139515402,899250
Многопоточность в Python. Multithreading,Языки программирования,"Python, Python",Сертификат Stepik,Александр Шибаев,Средний уровень,5,,https://stepik.org/course/172356?search=7139515400,2490
Jetpack Compose полный курс,Языки программирования,,No,Андрей Сумин,Средний уровень,5,4 - 8 часов в неделю,https://stepik.org/course/125685?search=7139515403,3967
Полный курс Python для начинающих,Языки программирования,"Python, PyCharm, Jupyter Notebook, Python",Сертификат Stepik,Shultais Education,Начальный уровень,4.6,4-5,https://stepik.org/course/52054?search=7139515398,3990
WEB Парсинг на Python,Языки программирования,"HTML, Excel, Selenium",Сертификат Stepik,Павел Хошев,Средний уровень,4.9,15 минут в день,https://stepik.org/course/104774?search=7139515406,3900
"""Поколение Python"": ООП",Языки программирования,"Python, Python",Сертификат Stepik,"Тимур 🐍 Гуев, Артур Харисов, Валерий Светкин, Поколение Python",Средний уровень,4.9,10 часов в неделю,https://stepik.org/course/98974?search=7139515388,5400
Асинхронный Python,Языки программирования,,Сертификат Stepik,Павел Хошев,Начальный уровень,4.8,15 минут в день,https://stepik.org/course/170777?search=7139515397,2900
Основы SQL,Языки программирования,SQL,Сертификат Stepik,Shultais Education,Начальный уровень,5,4,https://stepik.org/course/51562?search=7139515391,3960
SQL с нуля до PRO,Языки программирования,SQL,Сертификат Stepik,Shultais Education,Начальный уровень,4.9,4,https://stepik.org/course/61247?search=7139515395,5390
PRO Go. Базовый курс по структурам данных,Языки программирования,,Сертификат Stepik,"Копченин Михаил, Иосиф Дзеранов",Средний уровень,5,3-6 часов в неделю,https://stepik.org/course/187922?search=7139515405,599250
"Добрый, добрый Python ООП - обучающий курс от Сергея Балакирева",Языки программирования,,Сертификат Stepik,Сергей Балакирев,Средний уровень,4.9,4-5 часов в неделю,https://stepik.org/course/116336?search=7139515393,3000
"Добрый, добрый Django + Docker с Сергеем Балакиревым",Языки программирования,Django,Сертификат Stepik,Сергей Балакирев,Начальный уровень,4.9,,https://stepik.org/course/183363?search=7139515392,2500
"""Поколение Python"": курс для профессионалов",Языки программирования,"Python, Python",Сертификат Stepik,"Тимур 🐍 Гуев, Поколение Python",Продвинутый уровень,5,10 часов в неделю,https://stepik.org/course/82541?search=7139515387,5400
Многопроцессорный Python,Языки программирования,"Python, Python",Сертификат Stepik,Павел Хошев,Начальный уровень,4.9,15 минут в день,https://stepik.org/course/190099?search=7139515401,1900
